,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
60672,11.960687733137599,-1.0143349309434835,0.6123604557692911,-1.656434411116902,0.09763387727860373,
55187,857.7367636711341,-0.34630949349941215,0.17213490797204606,-2.0118492964579344,0.044235825605499796,0.17840225638083385
105376744,10.09680750286102,-0.02395196040586437,0.5131630356201323,-0.046675147552121724,0.9627721381322667,
10630,9.883343293915624,-0.28247539402350047,0.4738692363551094,-0.5961040986670388,0.5511056862548489,
7799,1142.1445477086868,-0.0953049013462852,0.0902153050509171,-1.0564161069177294,0.29077815042437116,0.5337026079742224
23254,450.36380774441403,-0.13882475187947887,0.1469156975875354,-0.944927969979275,0.34469565083822884,0.5843389301498116
107985467,213.15709676692822,-0.16702017115821158,0.1588498712443282,-1.0514340984344681,0.29305926191597054,0.5357552086409262
107985468,25.06554999264751,-0.2958387077803514,0.3142472274180193,-0.9414202639465759,0.3464895331405057,0.5859205960114251
105376762,78.74052947874662,-0.15703429618813963,0.2513292518287715,-0.6248150386216315,0.5320924593237566,0.7387166874076712
105376759,390.1627833703144,-0.10505009751200414,0.15587876374484025,-0.6739218029978854,0.5003610297550524,0.714379369567805
107985469,104.24141253955251,-0.1587761084954693,0.21591869708939848,-0.7353513643597526,0.4621255337643331,0.6854707112496304
200197,20.21933276162307,-0.6718201680700929,0.3016803097164531,-2.226927467362823,0.02595212176805466,0.13032632266627994
114827,114.48376296582386,0.1358382266878148,0.2734438283797217,0.49676830335765015,0.6193524496067396,0.7987869591499098
101927441,32.2224218644564,-0.4506728948518418,0.27836745037299404,-1.6189856042722301,0.10545036054021803,0.295946164855921
79180,108.90971196992191,-0.6916734152310197,0.28586930871655325,-2.419544155811534,0.015539973917529344,0.09549782597575371
842,53.76919677449977,-0.6168690042113253,0.287019513684164,-2.149223222815879,0.031616709251645114,0.1467930983241907
23341,135.2765783878772,-0.052956709784970794,0.15075391234210372,-0.35127917386844915,0.7253789174862391,0.8608520783570084
79814,17.580585715108395,0.11602131151881244,0.34296929960163103,0.3382848308976186,0.7351485537969736,
84301,274.57748170052344,-0.07547517467750765,0.11670692781614721,-0.6467068929824502,0.5178216610935527,0.7269125555711072
6248,40.138602145413095,-0.16355115777446702,0.23213144730919166,-0.7045626935527701,0.4810824218407015,0.7003435256338174
23207,138.07960401840174,-0.7482164541051524,0.29060407862356885,-2.574693575014641,0.010032892767938952,0.073925522723884
284723,20.783275449625304,-0.5511576952668001,0.47235912664811697,-1.1668191936458212,0.2432833941327014,0.48076268102031217
729614,19.35222600409501,-0.6665158322073492,0.3273608423200268,-2.0360279729356443,0.04174754643578516,0.17256120679821038
23013,893.6918863210273,-0.07715929810891438,0.15598774555463232,-0.4946497420971476,0.6208473835134096,0.7998753777107402
7709,73.71156184314277,-0.6557503754349615,0.25066756984824945,-2.6160160081016595,0.008896238665417536,0.06903726965270625
54455,146.21119901772406,-0.3422630853423215,0.2146635471475725,-1.5944164246341717,0.11084279607774959,0.30503762985350896
