gene,coef_Intercept,coef_diagnosis,coef_age,pval_Intercept,pval_diagnosis,pval_age
'ENCODE_ID_9378',11.226396782741206,-0.06905085097736152,-0.007332213172482099,1.1422644451917476e-49,0.4624260824250236,0.009165976040805055
'ENCODE_ID_55037',8.113203278221413,0.08306475481585851,0.004835906238450649,1.896136849553755e-49,0.22856870731353698,0.01789891331445545
'ENCODE_ID_112268415',5.854553746212677,0.3085428421887983,0.0115385141315138,8.18351282800154e-28,0.040974333038142914,0.009233587638614623
'ENCODE_ID_150568',6.384611356583042,-0.27175458038386957,-0.011448852582718237,2.516133667328658e-26,0.12361113970191415,0.027054810857974825
'ENCODE_ID_10097',9.370693604021229,-0.10571874067361364,-0.012538834903566458,6.203483653551208e-32,0.5795345270026764,0.026792686371412314
'ENCODE_ID_645784',8.316682908762886,-0.10358779921799965,-0.010696145424426668,6.750224476627299e-32,0.5416439973215798,0.0332716864131406
'ENCODE_ID_53335',8.829906034351346,0.05573786408245551,-0.00923771650709138,1.6030987157852278e-44,0.5585648743748344,0.0014943178447930708
'ENCODE_ID_7549',6.359835159104109,-0.3867636763889736,-0.00967949385180892,1.0889029925140534e-30,0.007012624036638436,0.018596208214875846
'ENCODE_ID_151011',5.9138054233416515,-0.22929741101826834,-0.010900856682082797,1.6851506337891171e-28,0.11556810733017543,0.011408577088194654
'ENCODE_ID_254773',6.660730011039979,-0.0064089770765078935,0.012098721389690651,5.436911919995577e-30,0.9658648469484375,0.0072758439106133
'ENCODE_ID_5455',8.309549630129723,-0.1441974540168796,-0.00850697063687832,7.036225212250102e-41,0.18327780021971563,0.008370004142377426
'ENCODE_ID_84172',6.975954759614368,0.0843441350532923,-0.010856981999957842,2.4459555959815426e-33,0.5235400124876496,0.0063311491210875795
'ENCODE_ID_101927764',4.8515758085451,0.09094421516576534,0.012589639483878418,5.318261644546724e-19,0.6494247168692135,0.03367492004167308
'ENCODE_ID_254128',5.813618699257325,-0.080860371390096,0.007505250212300382,3.58494328156887e-32,0.48963885117374606,0.03035038204621336
'ENCODE_ID_130013',5.608818930577598,-0.08140102272685307,0.01116126543425238,6.330840315544574e-28,0.5632304554016487,0.0082619263505726
'ENCODE_ID_100303491',5.608780424225226,-0.15491147053600052,-0.01067296277497669,2.958083020950518e-26,0.31597630761130024,0.019794374194417225
'ENCODE_ID_105373673',4.578113703925419,0.2998945957873033,0.014146923067331868,3.548405589785307e-17,0.15914869394818995,0.0240601677938829
'ENCODE_ID_4929',6.4785703833648185,-0.21588648592892043,-0.015525389264916492,6.429241908463062e-26,0.23580492636838266,0.004506333056872776
'ENCODE_ID_151531',5.699175789834166,-0.0756305896593224,0.009313116838839341,1.3724367633677504e-27,0.6034784568877192,0.030940345544022155
'ENCODE_ID_8604',8.276864962905172,-0.29331765984468633,-0.011405447989298267,1.2070434190821457e-32,0.07545087319363336,0.018414144109249977
'ENCODE_ID_85461',6.8789161516681485,-0.09365400997682816,-0.012252938615718722,1.2503898753764942e-26,0.6126146456505834,0.025686376136887616
'ENCODE_ID_22925',7.264838600064205,0.1417336374111161,0.009341403927546949,7.533268987740062e-36,0.24444628978480862,0.010015635237977072
'ENCODE_ID_91149',5.926692842334426,0.29577741947141345,0.010589913716381716,8.270861239610933e-28,0.052465003244821146,0.017577751981897653
'ENCODE_ID_57520',9.730993775840322,-0.2949810153546895,-0.009805821523280233,1.361302398857594e-41,0.018285391226509386,0.007236056786329207
'ENCODE_ID_285025',4.801074480536622,-0.023525606644402952,0.01960937543390643,3.15655993810527e-16,0.9201408998495125,0.005617782188129315
'ENCODE_ID_51776',5.183851224144775,0.4528051520529822,0.020684871283729252,2.071142064828705e-16,0.07545644268018603,0.006149531541905727
'ENCODE_ID_1745',6.93294673643897,-0.2568390901038918,-0.011750563943815922,1.0048683202777313e-27,0.1481289442017782,0.024495492754327934
