,baseMean_Diagnosis,log2FoldChange_Diagnosis,lfcSE_Diagnosis,stat_Diagnosis,pvalue_Diagnosis,padj_Diagnosis,baseMean_Age,log2FoldChange_Age,lfcSE_Age,stat_Age,pvalue_Age,padj_Age,log2(Schizophrenia/Control) quantiles,log2(Old/Young) quantiles
ENSG00000261528,17.127448144552158,0.7525960344914244,0.18889832710849527,3.9841328719611417,6.772697204378713e-05,0.0004411073007855293,17.127448144552158,1.46023774600338,0.2104583870937024,6.93836803640065,3.966552650849314e-12,2.4317526815932648e-09,Q10,Q10
ENSG00000261529,112.50155762567654,0.30605374338783725,0.04973349746138518,6.153875335742635,7.561212809655059e-10,1.1404829321229713e-07,112.50155762567654,0.21268607075418045,0.05509561009405879,3.8603088411415074,0.00011324380320145272,0.001200333786862024,Q7,Q6
ENSG00000261589,36.57108587771261,0.17447466578958623,0.03680588598484342,4.74040119184835,2.132954510850614e-06,3.0273936130482386e-05,36.57108587771261,0.13828659990428002,0.04059055505244479,3.406866442836458,0.0006571327376526431,0.004495611115582607,Q4,Q2
ENSG00000261613,80.60533458502898,0.17382258629123512,0.04348324622295022,3.997461123302531,6.402550214674847e-05,0.00042191562701073324,80.60533458502898,0.1805299299002614,0.0481217540767057,3.7515243025534377,0.0001757627121807746,0.00166187579353016,Q4,Q5
ENSG00000261616,59.339269039272274,0.16970049176991708,0.03461891981299032,4.901958024300893,9.488611423375029e-07,1.668187419992992e-05,59.339269039272274,0.16875170049727148,0.0382526897878355,4.411498941204787,1.026574564515727e-05,0.00020365396240732138,Q4,Q4
ENSG00000261641,2.6088287051480616,0.3794521176570398,0.16569451482892805,2.2900704833156764,0.02201723110858403,0.04829053401253773,2.6088287051480616,0.5147945953620413,0.18488056320569782,2.7844711549763166,0.005361508967146591,0.02155605625568457,Q8,Q8
ENSG00000261642,11.420595498113263,0.7123300247210084,0.18323623925383667,3.8874953318279992,0.00010128393494992243,0.0006004058589280336,11.420595498113263,0.9024633267384595,0.20387736160942926,4.426500910225242,9.577397849228575e-06,0.00019379994579621894,Q9,Q10
ENSG00000261646,2.488693418826609,0.7862886952869572,0.1424236155455529,5.52077471334429,3.3750827872017623e-08,1.5345322576739114e-06,2.488693418826609,0.8888638384451438,0.16260437354087715,5.4664202388239715,4.59214914889031e-08,3.5191046199459815e-06,Q10,Q10
ENSG00000261647,3.588950095292923,0.6970451709049224,0.13920032216294817,5.007496822377752,5.514246165897306e-07,1.1148749827965776e-05,3.588950095292923,0.682978557386517,0.15645547974054838,4.36532206170795,1.2693559612902411e-05,0.00023628596870056546,Q9,Q9
ENSG00000261740,222.28503845157013,-0.14256079848240558,0.036151295267040424,-3.943449257608759,8.031799168335773e-05,0.0005021195499809914,222.28503845157013,-0.1406059115969588,0.039940177351675314,-3.5204128003467914,0.0004308756426479594,0.0032637670739435903,Q2,Q2
ENSG00000261770,55.14313305687532,0.17450098216432258,0.05105144459231453,3.418139948004382,0.0006305067807147866,0.0025964856700941537,55.14313305687532,0.15701255456886248,0.056478454342046895,2.780043405897004,0.005435163301508262,0.02174637443056095,Q4,Q3
ENSG00000261868,6.344368206859972,0.3517913860083069,0.11376652905064405,3.0922221935038925,0.001986640865207982,0.0066320234750180404,6.344368206859972,0.47060601163402205,0.12667023171000805,3.715206053395417,0.00020303817245928443,0.001865026808887724,Q8,Q8
ENSG00000262001,51.88733869498865,0.28020716775253646,0.0518816898988526,5.400887447938226,6.631202327294038e-08,2.522188221686433e-06,51.88733869498865,0.21295562304010637,0.057452005185764675,3.7066699822145117,0.00021000230508347312,0.0019111098873772095,Q7,Q6
ENSG00000262119,124.67242954250861,0.16479015689560733,0.03727387130712146,4.421063632961648,9.82162426278619e-06,9.52346781195161e-05,124.67242954250861,0.14689119641244308,0.041242201968113665,3.5616720107721638,0.00036850055914533313,0.002909577534921918,Q3,Q3
