gene,coef_Intercept,coef_diagnosis,coef_age,coef_Hemisphere_Var,pval_Intercept,pval_diagnosis,pval_age,pval_Hemisphere_Var
'ENCODE_ID_2252',4.253992745535575,0.3192146804954001,0.011526846015531172,6.059569065396045e-07,7.849455702735351e-49,0.0641124087850866,0.020882300257022743,nan
'ENCODE_ID_100036566',4.737882606665992,0.05966874227695823,0.011734440255504342,5.946528409871924e-07,6.548363658363734e-52,0.7483917349085755,0.029306502889516754,nan
'ENCODE_ID_100033806',5.19386124216949,-0.05372978708116858,0.012643964702501738,0.02355432925487451,1.2670341899736698e-73,0.7417118391745758,0.009770924774116506,0.8201710151111804
'ENCODE_ID_9836',5.396709262285819,-0.15414422509211204,0.010165259749668,0.13939503843138198,3.936360330245302e-64,0.34865451481144016,0.037675918315286154,0.6389650300554959
'ENCODE_ID_100033431',6.000603355301407,0.014333181540782903,0.013127708684129902,1.4123695377627478e-06,1.3012309197788773e-100,0.9324089077766339,0.006485910853474925,nan
'ENCODE_ID_338433',4.969148452080481,0.14131793941473467,0.013229321852875167,6.517945761372365e-07,3.012486071659343e-77,0.37429873147502346,0.004027295706105169,nan
'ENCODE_ID_79856',6.115119356596983,-0.09520146820349216,-0.008249026807191669,1.8217059693754683e-06,6.08669710672381e-181,0.4591943007200763,0.022995734973866252,nan
'ENCODE_ID_3418',7.158478005283199,-0.5041051873617343,-0.012682678835413276,7.977001293713713e-07,4.2079490482998545e-130,0.004152662861019226,0.012435985289393056,nan
'ENCODE_ID_105371018',5.6046103133608804,-0.20851598146479042,0.014533202661310272,8.265719758250694e-07,1.8691212520152697e-55,0.327791444911385,0.018021620978886533,nan
'ENCODE_ID_6457',3.7544339068870425e-17,-0.12740636946297548,-0.008990435561930243,0.0,nan,0.20632539687359008,0.0025452879068211024,nan
'ENCODE_ID_27020',9.268290374805375,0.001430289108072901,-0.009546516835282189,1.7510315892919196e-07,7.448378026009048e-281,0.9924109245311239,0.0359090582703857,0.9999979011413749
'ENCODE_ID_5607',8.517202196032063,-0.007419887151559561,-0.00619197092025071,6.69473887634196e-07,0.0,0.9401324999278307,0.030169460064946006,nan
'ENCODE_ID_2595',7.277318325410278,-0.16940730968923137,-0.01204375239322148,0.028891379776009165,6.269285448790629e-115,0.34418052951032285,0.028143567902345488,0.8717929289144634
'ENCODE_ID_105370819',5.278840136032379,-0.1265660706392292,0.011767633934716845,1.2105452143009938e-06,1.1333831017062706e-63,0.4997548719382423,0.028504273220721497,nan
'ENCODE_ID_5151',8.32379512814957,-0.06282763550455485,-0.014320247613654254,7.367512375405005e-07,6.610702079481251e-289,0.6454537278649195,0.0002821067883828084,nan
'ENCODE_ID_26035',7.638963213427176,0.0781154353621271,-0.010643548295880498,6.180136041949803e-07,8.156852940734065e-156,0.647820521791438,0.03147063839498068,nan
'ENCODE_ID_107984791',3.8746080563519922,-0.0762332231447063,0.007750626862124649,9.314187967987361e-07,4.0106448212861926e-111,0.4603464074379878,0.009121965470277228,nan
'ENCODE_ID_105370846',6.602663661305707,0.25486128759213517,0.01203009281799431,0.022761502866640325,1.4041875334575015e-103,0.14369916523278412,0.021329426129918762,0.8154219090474069
'ENCODE_ID_79631',7.237407905723872,-0.31889521576001356,-0.012547399347871723,1.6068141505861655e-06,2.4296886008790516e-123,0.083387089901923,0.016487540331928712,nan
'ENCODE_ID_146395',7.144670439445817,0.2385940687976416,-0.009423413783260746,0.2464756184407691,6.757678468951363e-100,0.13645092745490772,0.04723099985665482,0.5515320687584692
'ENCODE_ID_101927026',5.920833059179336,-0.1424066185628124,-0.007877094901988214,0.15792573062223125,3.221442354333665e-133,0.2448749306206064,0.030223932435777458,0.5825696404350564
'ENCODE_ID_105371017',6.354726464052236e-17,-0.21808077615125113,0.01256783043995533,0.0,nan,0.20413007714524,0.01326249497585344,nan
'ENCODE_ID_4091',3.737109364636753,0.1722563758375666,0.011195260680623162,1.6847504469536337e-06,1.4926593087289342e-55,0.22913049459159818,0.005829763735227456,nan
'ENCODE_ID_55784',6.819620390248515,-0.39565140394014353,-0.010713309508717576,7.087147133719653e-07,1.2134829940485607e-234,0.0014472763029391386,0.002835996394622183,nan
'ENCODE_ID_3687',8.520169449458734e-17,-0.2900949316816883,-0.009399560442518252,0.0,nan,0.028041907435035818,0.01600567406254899,nan
'ENCODE_ID_55114',7.598498265995986,-0.6244293763954006,-0.011739248142677895,1.0082220005097937e-06,3.358601504283144e-195,4.125541881861466e-05,0.007334068871701488,nan
'ENCODE_ID_23035',9.126648189704522,-0.07111209781067668,-0.006715061351381708,6.380136975770391e-07,0.0,0.4193031127482675,0.008374392249127753,nan
'ENCODE_ID_51760',7.2150735141015065,0.04138606117424134,-0.012412058099848463,6.446864205711461e-07,1.5778281391162735e-216,0.7622300119562997,0.001704898557903946,nan
'ENCODE_ID_1009',8.235013473905955,-0.40220586763307015,-0.014283679381533845,8.879944385495062e-07,3.9401938537373133e-168,0.02368833363249518,0.005291970900226573,nan
'ENCODE_ID_283888',4.447888406861835,-0.20253005351534278,0.015380162198397301,0.028778869623307515,9.593302541968868e-49,0.23374779413147995,0.0031306790742406812,0.870229884415257
'ENCODE_ID_224',7.216784715923904,-0.053954349575205784,0.0070791418584318505,0.055233393538819626,0.0,0.6068308531392523,0.023557375713241346,0.6942937403426044
'ENCODE_ID_27346',5.3328391900934164,0.19255738119824264,0.009205467408570065,0.24827345740807905,1.9282920854288283e-51,0.25158395239663356,0.06443205268314443,0.5511049991895598
'ENCODE_ID_90410',7.014569536704865,-0.3146978536502343,-0.010949325521357939,1.3144096270231697e-06,1.0447994072468318e-151,0.049445817669183406,0.016812082674588773,nan
'ENCODE_ID_162494',6.449214428031597,-0.2898716060659282,0.017983509227303913,0.025977057259678946,2.101594668537082e-83,0.12489345357546956,0.0016094618592127493,0.8388089901092914
'ENCODE_ID_107984827',5.037029322482843,0.540897320907315,0.02163017310642341,8.19750241591288e-07,7.154292247394415e-21,0.09150696130722093,0.019291280190951474,nan
'ENCODE_ID_4756',8.262325861265147,-0.2779609939878306,-0.013126745152528135,0.025706351217308143,4.4010870172414385e-130,0.14998593610789218,0.024184536162283967,0.8363898528795788
'ENCODE_ID_22806',4.447855131132278,-0.07100333242766722,0.014639841378304102,6.083406492691822e-07,2.0743727715885286e-54,0.6770087057801217,0.002998773462446339,nan
'ENCODE_ID_9706',8.300699375373175e-17,-0.2825357559618899,-0.010146732548636848,0.0,nan,0.024295146950337795,0.006189621928277076,nan
'ENCODE_ID_6827',5.597619399739778,-0.12309901671041394,0.01023218012882757,0.06774084424707946,3.4084254091671298e-74,0.46464929083344697,0.041316589390638474,0.6689206073010172
'ENCODE_ID_101927751',6.35851470676766,-0.08910548505213517,0.008543341274129838,0.01720776010349086,6.159911101780886e-149,0.5266628372402475,0.04181122722910233,0.7986058590393015
'ENCODE_ID_105370972',9.144894793601846,-0.24267509123939204,0.01089259758653734,1.696822742826369e-06,0.0,0.09206637689914723,0.007621532452446475,nan
'ENCODE_ID_146802',5.641603065943138,-0.008952083362376212,0.014661414049111006,6.911232392411551e-07,3.7803384419775907e-91,0.9569879932020035,0.0022405290723812744,nan
'ENCODE_ID_124923',-2.91219167380735e-17,0.09863617280399381,0.009128872239313116,0.0,nan,0.46958080307993466,0.02351010513787339,nan
'ENCODE_ID_7284',6.517341430893531,-0.4460008753011863,-0.013433473173646189,8.085440646432242e-07,7.241120683210009e-88,0.022579191010018786,0.017255687648724063,nan
'ENCODE_ID_5257',8.100343432092329,-0.14767021910136016,-0.009157274930024297,0.11937728980681041,4.494388165065402e-246,0.24409138760297389,0.014967760790951993,0.5740515267597969
'ENCODE_ID_2256',4.98034036163851,-0.13816797196130837,-0.010531198299402317,6.097668891253192e-07,2.4441780710463154e-175,0.18828211492223612,0.0005294887281955738,nan
'ENCODE_ID_4763',9.873061704717008,0.04876231119780068,-0.006889824645486633,0.0264574654282112,0.0,0.6540390141104127,0.036201149589934714,0.8433351686821731
'ENCODE_ID_201229',8.53700051162308,-0.18113716205299737,-0.011533486707621285,0.026266520934898348,1.526101343949781e-186,0.27507814413116705,0.021428615297205654,0.841499542317698
'ENCODE_ID_3690',5.053557038505278,0.20373743776219158,0.01097754236117945,0.06263795953085453,6.9533620259792285e-59,0.23608663613042402,0.03217509902490646,0.6784946018462252
'ENCODE_ID_1213',1.993243137451665e-17,-0.06728931405871633,-0.008782691378146976,0.0,nan,0.6510517602486723,0.04572948942582202,nan
'ENCODE_ID_107985014',6.1245929088355515,0.24136485150011316,-0.011523344499185057,1.4053650676630114e-06,5.002202872904619e-108,0.14676135175991517,0.015211449641360989,nan
'ENCODE_ID_114780',5.592487658010421,-0.421222249210252,-0.011650077463514116,1.1620633042839696e-06,6.215981719927815e-107,0.005680527745330566,0.007636360189683525,nan
'ENCODE_ID_91107',1.8907720466287006e-17,-0.06403445451152921,-0.005997244013225413,0.0,nan,0.5086297700743887,0.03617196970808119,nan
'ENCODE_ID_55556',4.426727475644117e-17,-0.14963556649422355,-0.017279346160723755,0.0,nan,0.44254901703463645,0.0026916168120758796,nan
'ENCODE_ID_4864',7.355655690389779,0.003314952916190491,-0.008016288409372956,2.6009186999637478e-08,9.66002084660989e-309,0.9766597464469607,0.02032302045698372,0.999999730274219
'ENCODE_ID_101926967',6.041106510873804,-0.3025346692664678,-0.009870599545294437,7.820393945450712e-07,2.903921175829235e-163,0.022173615464269082,0.009708183153141864,nan
'ENCODE_ID_646030',4.470973085972778,0.22565387829284353,0.012554286402936996,6.275853776825852e-07,2.7114003710596373e-67,0.14176604899641557,0.004720660029424442,nan
'ENCODE_ID_5573',9.23953935198325,0.15877111444492575,-0.008127519798342048,0.131825433951929,2.752264667942933e-253,0.2600747510508009,0.05235861193352222,0.6132764926666645
'ENCODE_ID_5175',5.630776457588525,-0.16176081748143262,-0.009879890745581502,6.657007522702149e-07,4.3948631243565095e-107,0.28901575689244596,0.025102076801580105,nan
'ENCODE_ID_79839',6.406592677039265,0.08266123832090747,0.009220910323559142,1.1143747962612744e-06,2.7474489648229253e-165,0.554345793163131,0.021543561626295272,nan
'ENCODE_ID_10194',-3.462510815197205e-18,0.011017065718557607,0.009196798349503876,0.0,nan,0.9380217901103477,0.028043121745404555,nan
'ENCODE_ID_27092',6.242546460947728,-0.3832183890082076,-0.013334387826626052,1.5910829406167485e-06,2.717218101155576e-86,0.04431333739409845,0.013806855930875652,nan
'ENCODE_ID_441818',6.7140163502391905,-0.0738136948124802,-0.015454780423855112,8.207840883761845e-07,1.3592864511266423e-154,0.6253390733834183,0.00039260039997334394,nan
'ENCODE_ID_101927275',4.2848532714919125,0.017490534044574083,0.015834074637856535,6.122319995494177e-07,2.443663922732901e-47,0.9210621056735184,0.0019337650460253138,nan
'ENCODE_ID_10666',5.113694499538083,0.2277768238388225,0.014135022870969245,7.32032752617733e-07,9.083113050025303e-62,0.21511074962333698,0.007732552433460925,nan
'ENCODE_ID_5271',2.9955021973848044e-17,-0.10115790329156425,-0.012815073764044756,0.0,nan,0.5129514663772595,0.005032505934692414,nan
'ENCODE_ID_3998',-3.4212387087788025e-17,0.11622871028819914,0.006716506612338917,0.0,nan,0.24101326418750701,0.021853051390145244,nan
'ENCODE_ID_10272',1.4599284422479402e-16,-0.4971362502151667,-0.015427195569603617,0.0,nan,0.006623496710546141,0.004351276593104349,nan
'ENCODE_ID_101928344',6.999556951276247,-0.2897225096790921,-0.007250529353053393,1.4424878198899709e-06,0.0,0.0046785914584796095,0.013066279197415369,nan
'ENCODE_ID_79230',4.3847121925673695e-17,-0.1490175502716137,-0.007956701869927802,0.0,nan,0.16533566621274576,0.012178672360590453,nan
'ENCODE_ID_6511',6.608631722980168,-0.4831595781599704,-0.020704729798705804,1.1678322417692732e-06,1.418433354212555e-109,0.006568097630754975,4.854617608726414e-05,nan
'ENCODE_ID_1463',2.7259435437539592e-17,-0.09192828715736563,-0.01310766941466549,0.0,nan,0.5756377350904864,0.006910559693068256,nan
'ENCODE_ID_59286',5.333591933304784,0.05279412733810056,-0.009076079157902971,0.15298449038966397,1.7930785661054311e-62,0.7461183820625252,0.06079152419327559,0.5851639306027909
